id,comment_text,toxic
1,"本來憑印象唱還好好的，但發現有點不清楚該怎麼唱
發現歌譜不是那樣子
就越唱越怪


",0
2,"
自己故意要在那邊違規

不按照應該行駛的車道行駛

到了必須分開的地方又硬要切過來

然後又怪人家不讓你切換車道

說得好像什麼都是我的錯一樣欸？

自己沒有走在正確的車道

哪有人說可以這樣子亂佔用別的車道

然後最後不得不過來了才硬要跨越槽化線過來

阿我就好好的跟著我前面的車

依照交通規則走在正確的車道上面

你憑什麼要我讓你這種插隊仔過啦？

自己要在可以換車道的時候堅持走別的車到

雖然走另外一邊的車道是比較快沒錯啦

但是你自己就是要冒著大家一台接著一台走

沒有善心人士或是有明顯的車距

你就必須留在錯誤車道的風險阿

不然大家排隊是都在排心酸的喔？

幹你娘雞掰勒！要走捷徑又要插隊？

天底下哪裡會有這麼好的事情啊？

現在愛這樣子的偷雞仔真的是越來越多

當遵守規則的用路人都是白癡智障就是了啦？


",0
3,"一個人
行李上車

將心情
化粧成
初戀的快樂

我要我
為自己
找回自我
找到些什麼


找不到
哭哭

",0
4,"
沒有取消追蹤

結果打開app第一個就是放閃

操你妹的滾好嗎

5/1分手5/26就放閃

好棒棒

幹你娘

",1
5,"
幹你娘真的好噁心

我崩潰了幹

不知道是在崩潰三小

但是真的覺得很機掰

幹你娘

",1
6,"

我有什麼資格可以被人喜歡呢
只是給別人增加麻煩而已
現在過不去的情緒
再勇敢面對也還是過不去
埋起來算了
不要給別人困擾
告訴自己繼續背著往下走
反正也不能丟給別人 沒品
就這樣帶著進墳墓吧
啊首先要先有地方可以埋我阿
這個世界再熱鬧也沒有我的容身之處
去死好了
去死去死
不可以 死了就連振作的機會也沒有了
可是我好累
到底該展現自我還是不該展現自我呢
好痛苦

",0
7,"
真的後悔當初幹嘛送一堆可愛娃娃

自己三小都拿不到

幹你娘祝你們天長地久

",1
8,"
沒看多久突然有種心酸的感覺

好熟悉~好親切~

雖然一切到現在為止都是我的推測與想像

但，就是那個感覺!感覺怎麼很像....?

幹....還是我又生病了...


我覺得女生怎麼可以這樣.....？

就是已經在踏另一條船了，還可以跟原配耍甜蜜

若無其事的說520...(  幹   我520那天....

也有被說520.......==""...)

幹!被玩人生，一直被玩 ，

什麼時候輪到我玩 人家[email protected]@""


",0
9,"又要面對一堆鳥事
有夠不爽
洗洗睡辣
幹
賭爛

",1
10,"我沒好過

我是說面對自己，讓自己不去在意

很難哦真的


今天好嗎？


不太好。

",0
11,"
有一個對哥哥很有信心的感覺

感覺哥哥很努力做出好東西

偶也要加油

好期待！！！

我也會讓你嚇一大跳

看我端出什麼東西

鬥志滿滿

你拉的時間越長

我這邊的東西只會一直增加喔

哈哈哈


",0
12,"人渣前任死不還錢還po什麼冠冕堂皇的文
只會吃我軟飯的廢物趕快去死ㄏㄩㄐ
",1
13,"
唷呼  好棒哦～~~~   我女友跟別人合唱欸~~

沒讓我x歌上說她是我女友  好神秘哦～
3.07跟我吵完分手
3/16跟別人合唱
當人榜一唷～
他  1520  我 530

我女友好愛我喔～~~~耶~~~~







幹

艾一五你去哪了？ !幹你娘  你走了我變成墊底慘的
幹幹幹


",1
14,"
操

賤貓

雞掰

反而是咪嚕

越來越愛討摸摸

馬的

為何

喵喵什麼時候變的這麼不乖

我好難過


",0
15,"
雞掰啦

踢歐歪利還錢啦幹

媽的居然輸了

下了101張

幹幹幹

1萬P啊嗚嗚嗚

幹 我真的是手賤亂賭

幹

",1
16,"




為何半夜又起床



好想找人抱抱嗚嗚嗚嗚

抱抱嗚嗚QQ

為什麼我變了嗚嗚

",0
